nvdb_id,road_reference,supported,unsupported,unknown,total_m,support_fraction_observed
671257974,FV6650 S1D105 m240-324,85.38270666590583,3.0,0.0,88.38270666590583,0.9660567082275466
671258017,FV6650 S2D1 m107-350,241.24060273509443,0.0,0.0,241.24060273509443,1.0
671258018,FV6650 S2D1 m358-422,64.26742293452246,1.0,0.0,65.26742293452246,0.9846784206417462
671258019,FV6650 S2D1 m500-528,28.070748661903878,0.0,0.0,28.070748661903878,1.0
671258020,FV6650 S2D1 m529-546,14.695829534515902,2.0,0.0,16.6958295345159,0.8802096058859893
671258021,FV6650 S2D1 m803-841,39.698329878860356,0.0,0.0,39.698329878860356,1.0
671258022,FV6650 S2D1 m842-856,7.258165451792152,7.0,0.0,14.258165451792152,0.5090532492649572
671258023,FV6650 S2D1 m861-865,3.657239395488384,0.0,0.0,3.657239395488384,1.0
671258024,FV6650 S2D1 m876-888,11.903202141308247,0.0,0.0,11.903202141308247,1.0
671258025,FV6650 S2D1 m936-959,24.445656863810786,0.0,0.0,24.445656863810786,1.0
671258026,FV6650 S2D1 m966-987,21.13817296537717,0.0,0.0,21.13817296537717,1.0
671258027,FV6650 S2D1 m995-1006,10.019486014929512,0.0,0.0,10.019486014929512,1.0
671258028,FV6650 S2D1 m1034-1068,34.544773684168256,0.0,0.0,34.544773684168256,1.0
671258029,FV6650 S2D1 m866-871,5.612326233425373,0.0,0.0,5.612326233425373,1.0
671258030,FV6650 S2D1 m895-929,34.179474301592286,0.0,0.0,34.179474301592286,1.0
671258031,FV6650 S2D1 m1006-1031,19.944974526403815,3.0,0.0,22.944974526403815,0.8692524153143965
671258032,FV6650 S2D105 m247-256,8.700648083748236,0.0,0.0,8.700648083748236,1.0
671258033,FV6650 S2D105 m257-264,7.145474092301955,0.0,0.0,7.145474092301955,1.0
671258034,FV6650 S2D105 m266-276,9.968314802164388,0.0,0.0,9.968314802164388,1.0
671258035,FV6650 S2D105 m278-295,17.239876321239592,0.0,0.0,17.239876321239592,1.0
671258036,FV6650 S2D105 m297-318,21.64997606676672,0.0,0.0,21.64997606676672,1.0
671258086,FV6650 S2D1 m581-656,86.06489762007963,0.0,0.0,86.06489762007963,1.0
671258116,FV6650 S2D105 m8-30,22.399162822691473,0.0,0.0,22.399162822691473,1.0
671258117,FV6650 S2D1 m657-794,125.17996401836331,9.0,0.0,134.1799640183633,0.9329259024188716
671258120,FV6650 S2D1 m427-460,33.23214067786748,0.0,0.0,33.23214067786748,1.0
671258121,FV6650 S2D1 m480-499,19.50148898293354,0.0,0.0,19.50148898293354,1.0
